,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,vibration_rms,temp_c,pressure_bar,humidity_pct,machine_type,shift,plant_region,operator_id,line_id,quality_score,hora,mes,dia_semana
0,-1.726683501113185,-2.5053658386662,4.229919841390282,-5.974067207454632,0.8479604548698518,5.179497086927933,5.311862398534784,-5.722874281700458,,-7.132109532775377,0.7253018265055982,4.794797660167149,1.2716271238211585,4.743394563255876,3.263701352037597,4.214557315172039,-1.3095727967416348,9.777943283382886,2.7003531076020333,-6.754123814417229,0.1735383219014772,35.43433118223118,7.300201347230237,64.0650136896569,,day,,129.0,4.0,51.345036089411536,14.0,4.0,0.0
2,,-14.133572126316382,3.3394843825858,,-3.8216140710740696,-4.221488567328205,-8.719204147524769,-5.700690466695787,-2.1042177695578648,7.224991930214271,,5.2815933102642605,0.9539476794912358,,-1.927398333594914,-1.0510578898631295,1.1894162896149647,-3.570297081451275,-6.144717117624742,-4.256267761776046,,37.40102405924169,4.40308580198422,63.18963733093885,C,evening,Centro,100.0,4.0,103.53798610749875,4.0,4.0,1.0
3,0.5263245767794078,-11.22092769925053,6.260951707813869,-1.4751322304805576,1.0989179806479823,-2.9638538237139818,3.4506829353308666,-4.5587949571921005,-6.287326206246463,-0.6174242644192697,0.7989087226436242,-2.4528630008631542,2.033889005354492,-15.443224161404103,3.0712591225303743,4.1654224919283065,-0.4248672459108444,0.38626038583818,7.450427752277307,-3.206265589667674,2.7645657795738736,,5.198709156291999,,A,day,Norte,112.0,2.0,48.8509953366506,,,
4,-3.420097948324226,5.549899483932533,-3.688062142393228,-0.391355259930735,-0.5916981337186122,6.968590471817779,6.76817644080111,-0.211008370655538,-12.24874131067111,-6.8922652644033935,-3.828448746568069,-10.67168004917786,3.923138818525016,-11.946195407606774,3.0159882487203498,-2.6904592619301115,-3.8766210567995927,5.220217419781371,8.103486838173957,7.34675780053945,1.789803746239794,37.77348815322591,4.952631075603359,48.82059860200284,B,day,Centro,125.0,,70.34620359265433,4.0,1.0,6.0
5,-3.740380347156256,2.9653207156709733,1.5149569092238448,-15.970407369163905,-0.9973439153682776,-9.269618866290852,5.470869036609758,8.28642312223783,7.9527396692107715,6.450401586861727,5.02999088310011,-3.559001400261672,,-3.455085158722166,-8.8968596048853,-5.801777465985035,,6.5766570711410886,0.4391642078445796,8.284513720918355,2.2003515865996444,41.50579404869072,3.0318893732224463,53.82360080404212,C,night,Sur,125.0,5.0,56.059338215585846,14.0,6.0,5.0
7,0.329488286517218,7.634532961704295,7.573820529995847,4.015690230832629,1.5483195330588864,-5.412446992265533,10.994222908461438,-3.838376109410936,2.005558844856914,-5.994147038726236,-4.282169886962191,5.405093550375083,9.916106473233084,-0.0853576203883478,10.409310544568664,1.873364383963502,11.229963126179932,-13.33227976895594,19.644712230347988,1.9190781442703613,3.144537737722664,31.425989861913088,5.2599496118100815,43.54361033146731,C,day,Sur,105.0,,65.93116557111784,23.0,3.0,4.0
8,-3.543145377125465,-6.862294667845731,-6.272315777569836,2.1002703334141746,-4.501932844351097,0.2985826484530305,-5.008381863380216,-1.3620180762165466,3.618667969240835,-0.3772826854481005,7.991169575686293,4.59167544014583,3.464430356316298,1.452244317350111,-2.853454205465684,4.9904149087502345,-6.703190496730601,2.5049786684337287,10.123160106555046,0.7993331594965453,0.2574996153761351,42.03686983001244,,84.29508784343561,A,day,Centro,121.0,3.0,61.07796602538708,9.0,6.0,6.0
9,1.1626256127654715,-4.947327852797421,-3.388851190930461,,-6.779961993081968,-2.376561618385137,0.530796350262148,-1.3220195636265246,-1.8443229283902052,3.392650773510434,5.841374486124272,-3.1459751467007853,14.267123135328962,5.6347826665263225,1.3078531408492624,-8.61407562208283,-4.761429562122604,,-3.207150752714975,-4.1970200381675,2.5242514052716283,36.4750315362224,5.716481432312567,89.48191280848066,B,day,Centro,106.0,3.0,69.14264981345367,10.0,6.0,5.0
10,-5.194325831217003,4.742581288105401,,4.1372633324156105,9.658336269683044,3.4465142920761376,0.2640769294522544,-3.669229962534556,-5.663309570881536,-0.1343943706230026,9.263048567209816,13.456951852630995,13.593627356784475,-7.433867542211587,8.947202645063978,4.5251180528602095,-3.002107488938515,17.489113525068635,5.389062505066237,-3.7083220531245695,3.3392780924510603,27.00486067696356,4.341597274815013,62.57634458626638,C,night,Sur,127.0,,71.15583884152284,18.0,6.0,2.0
11,-0.2389784897990927,7.998697733551294,5.903413300421258,1.3986761244201198,2.309884959318105,-3.654853958179281,,11.837085025788056,2.1257136401787444,8.078644747867763,1.142820288621267,17.28510304655715,1.1519198632515042,-0.7400760339669452,3.0583346804751588,1.370015237534941,-4.881856643321605,4.5109022827333645,11.121114756404744,2.814847881491567,3.666855312891944,30.26889426338609,5.689274790957398,57.40346118667265,B,day,Centro,121.0,3.0,75.69361424772231,,,
